epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
153,0.0275,0.0098,0.0179,0.0015,2.7257,0.1950,0.1858,3
154,0.0264,0.0092,0.0170,0.0014,2.9462,0.1245,0.1376,3
155,0.0286,0.0102,0.0184,0.0015,3.0587,0.1869,0.1592,3
156,0.0267,0.0095,0.0172,0.0013,2.8181,0.1455,0.1603,3
157,0.0281,0.0101,0.0178,0.0014,3.2081,0.1152,0.1103,3
158,0.0276,0.0097,0.0177,0.0014,3.1133,0.1170,0.1459,3
159,0.0268,0.0099,0.0176,0.0015,2.2895,0.3536,0.3225,3
160,0.0261,0.0093,0.0171,0.0012,2.4834,0.3263,0.2576,3
161,0.0257,0.0092,0.0171,0.0015,2.1825,0.3294,0.3190,3
162,0.0261,0.0090,0.0172,0.0014,2.6428,0.2184,0.2159,3
163,0.0268,0.0097,0.0176,0.0013,2.4095,0.2905,0.2504,3
164,0.0260,0.0091,0.0171,0.0014,2.4598,0.2210,0.2381,3
165,0.0262,0.0093,0.0171,0.0014,2.5590,0.2174,0.2450,3
166,0.0260,0.0093,0.0171,0.0013,2.3966,0.2847,0.2557,3
167,0.0257,0.0090,0.0170,0.0014,2.4244,0.2746,0.2282,3
168,0.0267,0.0091,0.0176,0.0015,2.6134,0.2312,0.2306,3
169,0.0271,0.0094,0.0176,0.0016,2.9213,0.1591,0.1646,3
170,0.0276,0.0095,0.0178,0.0015,3.1765,0.1059,0.1141,3
171,0.0282,0.0098,0.0177,0.0015,3.6257,0.0849,0.0693,3
172,0.0278,0.0099,0.0179,0.0015,3.0068,0.1359,0.1220,3
173,0.0276,0.0099,0.0177,0.0019,2.9873,0.1354,0.1279,3
174,0.0286,0.0102,0.0181,0.0017,3.3850,0.1452,0.1224,3
175,0.0275,0.0100,0.0177,0.0018,2.7795,0.2184,0.2197,3
176,0.0279,0.0101,0.0179,0.0018,2.9872,0.1652,0.1586,3
177,0.0267,0.0099,0.0169,0.0013,2.8830,0.1686,0.1980,3
178,0.0273,0.0099,0.0174,0.0019,2.9858,0.1800,0.1791,3
179,0.0280,0.0097,0.0178,0.0019,3.5245,0.0908,0.1329,3
180,0.0265,0.0098,0.0175,0.0023,2.2171,0.4709,0.4147,3
181,0.0255,0.0087,0.0171,0.0023,2.3256,0.3490,0.2816,3
182,0.0257,0.0091,0.0170,0.0014,2.3228,0.4553,0.3066,3
183,0.0258,0.0091,0.0169,0.0014,2.5311,0.2421,0.1994,3
184,0.0258,0.0091,0.0167,0.0013,2.7013,0.2969,0.2440,3
185,0.0252,0.0089,0.0166,0.0018,2.4479,0.2759,0.2285,3
186,0.0265,0.0091,0.0173,0.0018,2.9099,0.1351,0.1494,3
187,0.0274,0.0095,0.0173,0.0016,3.4677,0.0748,0.0825,3
188,0.0283,0.0097,0.0178,0.0018,3.6704,0.0670,0.0750,3
189,0.0285,0.0098,0.0178,0.0017,3.7783,0.0522,0.0609,3
190,0.0290,0.0102,0.0180,0.0019,3.9558,0.0661,0.0508,3
